,OTU,Sample,Abundance,names,host_species,gut_section,region,location,year,month,day,sample_lab,Time,SL..mm.,FL..mm.,TW..g.,GW..g.,Sex,Sample_or_Control,input,filtered,denoisedF,denoisedR,merged,nochim,perc_reads_retained,Kingdom,Phylum,Class,Order
1,ASV_4,568_4,0.618787624,568_4,Pomacanthus sexstriatus,IV,Great Barrier Reef,South Island South,2014,12,12,S246,15:30,236,285,654.3,52.5,M,Sample,52502,25983,25713,25724,24787,24522,46.70679212,Bacteria,Pseudomonadota,GammaPseudomonadota,Pseudomonadales
17,ASV_1,568_4,0.270614588,568_4,Pomacanthus sexstriatus,IV,Great Barrier Reef,South Island South,2014,12,12,S246,15:30,236,285,654.3,52.5,M,Sample,52502,25983,25713,25724,24787,24522,46.70679212,Bacteria,Bacteroidota,Bacteroidia,Cytophagales
65,ASV_14,568_4,0.028419432,568_4,Pomacanthus sexstriatus,IV,Great Barrier Reef,South Island South,2014,12,12,S246,15:30,236,285,654.3,52.5,M,Sample,52502,25983,25713,25724,24787,24522,46.70679212,Bacteria,Pseudomonadota,GammaPseudomonadota,Enterobacterales
72,ASV_2,568_4,0.023799524,568_4,Pomacanthus sexstriatus,IV,Great Barrier Reef,South Island South,2014,12,12,S246,15:30,236,285,654.3,52.5,M,Sample,52502,25983,25713,25724,24787,24522,46.70679212,Bacteria,Bacillota,Clostridia,Peptostreptococcales-Tissierellales
78,ASV_35,568_4,0.021839563,568_4,Pomacanthus sexstriatus,IV,Great Barrier Reef,South Island South,2014,12,12,S246,15:30,236,285,654.3,52.5,M,Sample,52502,25983,25713,25724,24787,24522,46.70679212,Bacteria,Bacillota,Clostridia,Oscillospirales
79,ASV_9,568_4,0.021839563,568_4,Pomacanthus sexstriatus,IV,Great Barrier Reef,South Island South,2014,12,12,S246,15:30,236,285,654.3,52.5,M,Sample,52502,25983,25713,25724,24787,24522,46.70679212,Bacteria,Bacillota,Clostridia,Lachnospirales
5,ASV_2,E1_4,0.456494325,E1_4,Pomacanthus sexstriatus,IV,Great Barrier Reef,North Direction Island,2011,3,18,S140,09:40,NA,NA,NA,1262,M,Sample,84311,45242,45120,45137,44201,43946,52.12368493,Bacteria,Bacillota,Clostridia,Peptostreptococcales-Tissierellales
16,ASV_1,E1_4,0.273644388,E1_4,Pomacanthus sexstriatus,IV,Great Barrier Reef,North Direction Island,2011,3,18,S140,09:40,NA,NA,NA,1262,M,Sample,84311,45242,45120,45137,44201,43946,52.12368493,Bacteria,Bacteroidota,Bacteroidia,Cytophagales
25,ASV_11,E1_4,0.092335715,E1_4,Pomacanthus sexstriatus,IV,Great Barrier Reef,North Direction Island,2011,3,18,S140,09:40,NA,NA,NA,1262,M,Sample,84311,45242,45120,45137,44201,43946,52.12368493,Bacteria,Bacillota,Clostridia,Clostridiales
36,ASV_4,E1_4,0.063472047,E1_4,Pomacanthus sexstriatus,IV,Great Barrier Reef,North Direction Island,2011,3,18,S140,09:40,NA,NA,NA,1262,M,Sample,84311,45242,45120,45137,44201,43946,52.12368493,Bacteria,Pseudomonadota,GammaPseudomonadota,Pseudomonadales
37,ASV_14,E1_4,0.062351128,E1_4,Pomacanthus sexstriatus,IV,Great Barrier Reef,North Direction Island,2011,3,18,S140,09:40,NA,NA,NA,1262,M,Sample,84311,45242,45120,45137,44201,43946,52.12368493,Bacteria,Pseudomonadota,GammaPseudomonadota,Enterobacterales
48,ASV_9,E1_4,0.041754238,E1_4,Pomacanthus sexstriatus,IV,Great Barrier Reef,North Direction Island,2011,3,18,S140,09:40,NA,NA,NA,1262,M,Sample,84311,45242,45120,45137,44201,43946,52.12368493,Bacteria,Bacillota,Clostridia,Lachnospirales
4,ASV_4,E2_4,0.460252809,E2_4,Pomacanthus sexstriatus,IV,Great Barrier Reef,North Direction Island,2011,3,18,S142,10:30,NA,NA,NA,575,F,Sample,87227,40995,40583,40479,39686,39332,45.09154276,Bacteria,Pseudomonadota,GammaPseudomonadota,Pseudomonadales
22,ASV_9,E2_4,0.115589888,E2_4,Pomacanthus sexstriatus,IV,Great Barrier Reef,North Direction Island,2011,3,18,S142,10:30,NA,NA,NA,575,F,Sample,87227,40995,40583,40479,39686,39332,45.09154276,Bacteria,Bacillota,Clostridia,Lachnospirales
23,ASV_16,E2_4,0.103370787,E2_4,Pomacanthus sexstriatus,IV,Great Barrier Reef,North Direction Island,2011,3,18,S142,10:30,NA,NA,NA,575,F,Sample,87227,40995,40583,40479,39686,39332,45.09154276,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales
31,ASV_2,E2_4,0.073455056,E2_4,Pomacanthus sexstriatus,IV,Great Barrier Reef,North Direction Island,2011,3,18,S142,10:30,NA,NA,NA,575,F,Sample,87227,40995,40583,40479,39686,39332,45.09154276,Bacteria,Bacillota,Clostridia,Peptostreptococcales-Tissierellales
43,ASV_1,E2_4,0.049297753,E2_4,Pomacanthus sexstriatus,IV,Great Barrier Reef,North Direction Island,2011,3,18,S142,10:30,NA,NA,NA,575,F,Sample,87227,40995,40583,40479,39686,39332,45.09154276,Bacteria,Bacteroidota,Bacteroidia,Cytophagales
45,ASV_12,E2_4,0.04747191,E2_4,Pomacanthus sexstriatus,IV,Great Barrier Reef,North Direction Island,2011,3,18,S142,10:30,NA,NA,NA,575,F,Sample,87227,40995,40583,40479,39686,39332,45.09154276,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales
52,ASV_35,E2_4,0.039325843,E2_4,Pomacanthus sexstriatus,IV,Great Barrier Reef,North Direction Island,2011,3,18,S142,10:30,NA,NA,NA,575,F,Sample,87227,40995,40583,40479,39686,39332,45.09154276,Bacteria,Bacillota,Clostridia,Oscillospirales
69,ASV_11,E2_4,0.025280899,E2_4,Pomacanthus sexstriatus,IV,Great Barrier Reef,North Direction Island,2011,3,18,S142,10:30,NA,NA,NA,575,F,Sample,87227,40995,40583,40479,39686,39332,45.09154276,Bacteria,Bacillota,Clostridia,Clostridiales
90,ASV_14,E2_4,0.017837079,E2_4,Pomacanthus sexstriatus,IV,Great Barrier Reef,North Direction Island,2011,3,18,S142,10:30,NA,NA,NA,575,F,Sample,87227,40995,40583,40479,39686,39332,45.09154276,Bacteria,Pseudomonadota,GammaPseudomonadota,Enterobacterales
102,ASV_153,E2_4,0.015589888,E2_4,Pomacanthus sexstriatus,IV,Great Barrier Reef,North Direction Island,2011,3,18,S142,10:30,NA,NA,NA,575,F,Sample,87227,40995,40583,40479,39686,39332,45.09154276,Bacteria,Bacillota,Clostridia,Christensenellales
2,ASV_4,E3_4,0.600392047,E3_4,Pomacanthus sexstriatus,IV,Great Barrier Reef,Tuttle Beach,2011,3,18,S144,15:45,NA,NA,NA,308,M,Sample,38381,7645,7366,7375,7155,7142,18.6081655,Bacteria,Pseudomonadota,GammaPseudomonadota,Pseudomonadales
20,ASV_1,E3_4,0.139456735,E3_4,Pomacanthus sexstriatus,IV,Great Barrier Reef,Tuttle Beach,2011,3,18,S144,15:45,NA,NA,NA,308,M,Sample,38381,7645,7366,7375,7155,7142,18.6081655,Bacteria,Bacteroidota,Bacteroidia,Cytophagales
30,ASV_9,E3_4,0.073788855,E3_4,Pomacanthus sexstriatus,IV,Great Barrier Reef,Tuttle Beach,2011,3,18,S144,15:45,NA,NA,NA,308,M,Sample,38381,7645,7366,7375,7155,7142,18.6081655,Bacteria,Bacillota,Clostridia,Lachnospirales
39,ASV_16,E3_4,0.056706805,E3_4,Pomacanthus sexstriatus,IV,Great Barrier Reef,Tuttle Beach,2011,3,18,S144,15:45,NA,NA,NA,308,M,Sample,38381,7645,7366,7375,7155,7142,18.6081655,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales
63,ASV_35,E3_4,0.03108373,E3_4,Pomacanthus sexstriatus,IV,Great Barrier Reef,Tuttle Beach,2011,3,18,S144,15:45,NA,NA,NA,308,M,Sample,38381,7645,7366,7375,7155,7142,18.6081655,Bacteria,Bacillota,Clostridia,Oscillospirales
94,ASV_12,E3_4,0.017362083,E3_4,Pomacanthus sexstriatus,IV,Great Barrier Reef,Tuttle Beach,2011,3,18,S144,15:45,NA,NA,NA,308,M,Sample,38381,7645,7366,7375,7155,7142,18.6081655,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales
95,ASV_14,E3_4,0.017362083,E3_4,Pomacanthus sexstriatus,IV,Great Barrier Reef,Tuttle Beach,2011,3,18,S144,15:45,NA,NA,NA,308,M,Sample,38381,7645,7366,7375,7155,7142,18.6081655,Bacteria,Pseudomonadota,GammaPseudomonadota,Enterobacterales
101,ASV_148,E3_4,0.015681882,E3_4,Pomacanthus sexstriatus,IV,Great Barrier Reef,Tuttle Beach,2011,3,18,S144,15:45,NA,NA,NA,308,M,Sample,38381,7645,7366,7375,7155,7142,18.6081655,Bacteria,Fibrobacterota,Fibrobacteria,Fibrobacterales
110,ASV_2,E3_4,0.012881546,E3_4,Pomacanthus sexstriatus,IV,Great Barrier Reef,Tuttle Beach,2011,3,18,S144,15:45,NA,NA,NA,308,M,Sample,38381,7645,7366,7375,7155,7142,18.6081655,Bacteria,Bacillota,Clostridia,Peptostreptococcales-Tissierellales